"region","Crash.ID","State","Month","Year","Dayweek","Time","Crash.Type","Bus.Involvement","Heavy.Rigid.Truck.Involvement","Articulated.Truck.Involvement","Speed.Limit","Road.User","Gender","Age","National.Remoteness.Areas","SA4.Name.2016","National.LGA.Name.2017","National.Road.Type","Christmas.Period","Easter.Period","Age.Group","Day.of.week","Time.of.day","city","lat","long","latc","longc","initialZoom"
"New South Wales",20191200,"NSW","Aug",2019,"Thursday","17:18","Single","No","No","No","80","Driver","Male",61,"Inner Regional Australia","Central West","Lithgow","Sub-arterial Road","No","No","40_to_64","Weekday","Day","Lithgow",-33.310653,150.356874,-35.473469,149.012375,5
"New South Wales",20181250,"NSW","Dec",2018,"Tuesday","19:00","Pedestrian","No","No","No","100","Pedestrian","Male",15,"Outer Regional Australia","Riverina","Junee","Sub-arterial Road","No","No","0_to_16","Weekday","Night","Junee",-34.933478,147.716767,-35.473469,149.012375,5
"New South Wales",20191002,"NSW","Feb",2019,"Thursday","16:09","Single","No","No","No","110","Driver","Male",70,"Major Cities of Australia","Sydney - Outer South West","Campbelltown","National or State Highway","No","No","65_to_74","Weekday","Day","Campbelltown",-34.194216,150.768408,-35.473469,149.012375,5
"New South Wales",20181065,"NSW","Nov",2018,"Saturday","15:30","Single","No","No","No","80","Passenger","Female",23,"Outer Regional Australia","Coffs Harbour - Grafton","Coffs Harbour","Sub-arterial Road","No","No","17_to_25","Weekend","Day","Coffs Harbour",-30.097726,152.658268,-35.473469,149.012375,5
"New South Wales",20191252,"NSW","Jul",2019,"Monday","23:30","Pedestrian","No","No","Yes","100","Pedestrian","Male",49,"Outer Regional Australia","Mid North Coast","Kempsey","Arterial Road","No","No","40_to_64","Weekday","Night","Kempsey",-30.375791,153.019648,-35.473469,149.012375,5
"New South Wales",20191084,"NSW","Jun",2019,"Wednesday","19:30","Multiple","No","No","Yes","100","Driver","Male",30,"Inner Regional Australia","Riverina","Wagga Wagga","National or State Highway","No","No","26_to_39","Weekday","Night","Wagga Wagga",-35.07459,147.376202,-35.473469,149.012375,5
"New South Wales",20191066,"NSW","Apr",2019,"Saturday","11:00","Single","No","No","No","100","Driver","Male",71,"Outer Regional Australia","New England and North West","Inverell","National or State Highway","No","Yes","65_to_74","Weekend","Day","Inverell",-29.630052,151.162025,-35.473469,149.012375,5
"New South Wales",20181318,"NSW","Sep",2018,"Sunday","11:20","Multiple","No","No","No","80","Motorcycle rider","Male",53,"Inner Regional Australia","Central Coast","Central Coast","Arterial Road","No","No","40_to_64","Weekend","Day","Central Coast",0,0,-35.473469,149.012375,5
"New South Wales",20191172,"NSW","Apr",2019,"Wednesday","17:20","Single","No","No","No","60","Motorcycle rider","Male",21,"Major Cities of Australia","Sydney - South West","Fairfield","Local Road","No","No","17_to_25","Weekday","Day","Fairfield",-33.85,150.96,-35.473469,149.012375,5
"New South Wales",20171192,"NSW","Nov",2017,"Saturday","15:00","Multiple","No","No","No","50","Motorcycle rider","Male",21,"Inner Regional Australia","Hunter Valley exc Newcastle","Cessnock","Local Road","No","No","17_to_25","Weekend","Day","Cessnock",-32.977861,151.317476,-35.473469,149.012375,5
"New South Wales",20181071,"NSW","Aug",2018,"Saturday","18:20","Multiple","No","No","No","100","Driver","Female",20,"Inner Regional Australia","Hunter Valley exc Newcastle","Muswellbrook","Local Road","No","No","17_to_25","Weekend","Night","Muswellbrook",-32.248568,150.701949,-35.473469,149.012375,5
"New South Wales",20151169,"NSW","May",2015,"Thursday","10:58","Multiple","No","Yes","No","80","Driver","Male",82,"Outer Regional Australia","Riverina","Griffith","Local Road","No","No","75_or_older","Weekday","Day","Griffith",-34.321422,145.914625,-35.473469,149.012375,5
"New South Wales",20191039,"NSW","Feb",2019,"Friday","11:36","Pedestrian","No","No","No","70","Pedestrian","Male",69,"Major Cities of Australia","Sydney - Ryde","Hunters Hill","Arterial Road","No","No","65_to_74","Weekday","Day","Hunters Hill",-33.836102,151.149126,-35.473469,149.012375,5
"New South Wales",20181235,"NSW","Mar",2018,"Wednesday","1:00","Single","No","No","No","80","Passenger","Male",30,"Inner Regional Australia","Hunter Valley exc Newcastle","Cessnock","Sub-arterial Road","No","No","26_to_39","Weekday","Night","Cessnock",-32.977861,151.317476,-35.473469,149.012375,5
"New South Wales",20191197,"NSW","Sep",2019,"Tuesday","6:15","Single","No","No","No","110","Driver","Male",43,"Very Remote Australia","Far West and Orana","Brewarrina","National or State Highway","No","No","40_to_64","Weekday","Day","Brewarrina",-29.8313,146.94474,-35.473469,149.012375,5
"New South Wales",20191099,"NSW","Mar",2019,"Saturday","10:45","Single","No","No","No","100","Driver","Male",25,"Very Remote Australia","Far West and Orana","Brewarrina","Sub-arterial Road","No","No","17_to_25","Weekend","Day","Brewarrina",-29.8313,146.94474,-35.473469,149.012375,5
"New South Wales",20191231,"NSW","Aug",2019,"Tuesday","12:48","Single","No","No","No","60","Passenger","Female",9,"Major Cities of Australia","Newcastle and Lake Macquarie","Newcastle","Collector Road","No","No","0_to_16","Weekday","Day","Newcastle",-32.931635,151.778021,-35.473469,149.012375,5
"New South Wales",20191251,"NSW","Sep",2019,"Sunday","16:00","Multiple","No","No","No","80","Motorcycle rider","Male",24,"Inner Regional Australia","Richmond - Tweed","Ballina","Sub-arterial Road","No","No","17_to_25","Weekend","Day","Ballina",-28.865483,153.532475,-35.473469,149.012375,5
"New South Wales",20181291,"NSW","Apr",2018,"Thursday","15:40","Pedestrian","No","No","No","100","Pedestrian","Male",82,"Major Cities of Australia","Illawarra","Wollongong","National or State Highway","No","No","75_or_older","Weekday","Day","Wollongong",-34.423171,150.874294,-35.473469,149.012375,5
"New South Wales",20171208,"NSW","Nov",2017,"Tuesday","13:37","Multiple","No","No","No","80","Passenger","Female",2,"Major Cities of Australia","Sydney - South West","Penrith","Arterial Road","No","No","0_to_16","Weekday","Day","Penrith",-33.755476,150.678551,-35.473469,149.012375,5
"New South Wales",20181164,"NSW","Jul",2018,"Monday","6:11","Pedestrian","No","No","No","60","Pedestrian","Male",65,"Major Cities of Australia","Sydney - Blacktown","Blacktown","Collector Road","No","No","65_to_74","Weekday","Day","Blacktown",-33.783751,150.900547,-35.473469,149.012375,5
"New South Wales",20171310,"NSW","Jun",2017,"Monday","15:45","Multiple","No","No","No","80","Driver","Male",34,"Inner Regional Australia","Richmond - Tweed","Ballina","Sub-arterial Road","No","No","26_to_39","Weekday","Day","Ballina",-28.865483,153.532475,-35.473469,149.012375,5
"New South Wales",20191179,"NSW","May",2019,"Wednesday","14:19","Single","No","No","No","100","Passenger","Male",20,"Outer Regional Australia","Central West","Forbes","Sub-arterial Road","No","No","17_to_25","Weekday","Day","Forbes",-33.476768,147.811688,-35.473469,149.012375,5
"New South Wales",20171175,"NSW","Dec",2017,"Friday","11:00","Pedestrian","No","No","No","60","Pedestrian","Female",77,"Major Cities of Australia","Sydney - North Sydney and Hornsby","Willoughby","Collector Road","No","No","75_or_older","Weekday","Day","Willoughby",-33.800881,151.202715,-35.473469,149.012375,5
"New South Wales",20181206,"NSW","Jun",2018,"Thursday","17:50","Pedestrian","No","No","No","60","Pedestrian","Male",72,"Major Cities of Australia","Sydney - North Sydney and Hornsby","Willoughby","Arterial Road","No","No","65_to_74","Weekday","Day","Willoughby",-33.800881,151.202715,-35.473469,149.012375,5
"New South Wales",20181020,"NSW","Mar",2018,"Saturday","20:00","Single","No","No","No","100","Motorcycle rider","Male",42,"Outer Regional Australia","Riverina","Griffith","Arterial Road","No","No","40_to_64","Weekend","Night","Griffith",-34.321422,145.914625,-35.473469,149.012375,5
"New South Wales",20191044,"NSW","Apr",2019,"Thursday","22:30","Single","No","No","No","100","Passenger","Male",18,"Outer Regional Australia","New England and North West","Narrabri","Local Road","No","No","17_to_25","Weekday","Night","Narrabri",-30.413331,149.767538,-35.473469,149.012375,5
"New South Wales",20191036,"NSW","Sep",2019,"Saturday","14:20","Multiple","No","No","No","100","Motorcycle rider","Male",47,"Inner Regional Australia","Hunter Valley exc Newcastle","Muswellbrook","Arterial Road","No","No","40_to_64","Weekend","Day","Muswellbrook",-32.248568,150.701949,-35.473469,149.012375,5
"New South Wales",20191145,"NSW","Aug",2019,"Tuesday","20:40","Single","No","No","No","60","Driver","Male",17,"Major Cities of Australia","Illawarra","Wollongong","Collector Road","No","No","17_to_25","Weekday","Night","Wollongong",-34.423171,150.874294,-35.473469,149.012375,5
"New South Wales",20171269,"NSW","Jun",2017,"Saturday","3:11","Multiple","Yes","No","No","40","Passenger","Male",30,"Major Cities of Australia","Sydney - City and Inner South","Sydney","Collector Road","No","No","26_to_39","Weekend","Night","Sydney",-33.79,151.27,-35.473469,149.012375,5
"New South Wales",20191003,"NSW","Jul",2019,"Monday","17:35","Multiple","No","No","No","50","Driver","Female",78,"Major Cities of Australia","Sydney - South West","Fairfield","Local Road","No","No","75_or_older","Weekday","Day","Fairfield",-33.85,150.96,-35.473469,149.012375,5
"New South Wales",20191009,"NSW","Feb",2019,"Tuesday","5:15","Single","No","No","No","100","Motorcycle rider","Male",32,"Inner Regional Australia","Richmond - Tweed","Lismore","Arterial Road","No","No","26_to_39","Weekday","Night","Lismore",-28.706486,153.25943,-35.473469,149.012375,5
"New South Wales",20191262,"NSW","May",2019,"Wednesday","13:55","Single","No","No","No","100","Passenger","Male",41,"Inner Regional Australia","Central West","Oberon","Arterial Road","No","No","40_to_64","Weekday","Day","Oberon",-34.06024,150.153221,-35.473469,149.012375,5
"New South Wales",20181218,"NSW","Dec",2018,"Friday","7:20","Multiple","No","No","No","100","Passenger","Male",40,"Remote Australia","Far West and Orana","Cobar","Sub-arterial Road","No","No","40_to_64","Weekday","Day","Cobar",-31.551822,145.406579,-35.473469,149.012375,5
"New South Wales",20191155,"NSW","Feb",2019,"Sunday","18:59","Pedestrian","Yes","No","No","60","Pedestrian","Male",70,"Major Cities of Australia","Sydney - Parramatta","Parramatta","Local Road","No","No","65_to_74","Weekend","Night","Parramatta",-33.89,151.14,-35.473469,149.012375,5
"New South Wales",20181240,"NSW","Apr",2018,"Wednesday","11:05","Multiple","No","No","Yes","60","Driver","Male",48,"Inner Regional Australia","Richmond - Tweed","Lismore","National or State Highway","No","No","40_to_64","Weekday","Day","Lismore",-28.706486,153.25943,-35.473469,149.012375,5
"New South Wales",20191122,"NSW","Feb",2019,"Saturday","21:45","Single","No","No","No","50","Motorcycle rider","Male",60,"Major Cities of Australia","Sydney - Sutherland","Sutherland","Local Road","No","No","40_to_64","Weekend","Night","Sutherland",-34.02,151.06,-35.473469,149.012375,5
"New South Wales",20171069,"NSW","Nov",2017,"Sunday","5:55","Single","No","No","No","110","Passenger","Male",29,"Outer Regional Australia","Far West and Orana","Narromine","National or State Highway","No","No","26_to_39","Weekend","Night","Narromine",-32.255249,148.110385,-35.473469,149.012375,5
"New South Wales",20181095,"NSW","May",2018,"Saturday","10:30","Single","No","No","No","100","Motorcycle rider","Male",62,"Remote Australia","Far West and Orana","Coonamble","Sub-arterial Road","No","No","40_to_64","Weekend","Day","Coonamble",-30.766245,148.261265,-35.473469,149.012375,5
"New South Wales",20191228,"NSW","Jan",2019,"Tuesday","20:05","Single","No","No","No","100","Passenger","Male",11,"Outer Regional Australia","Far West and Orana","Warrumbungle","Local Road","No","No","0_to_16","Weekday","Night","Warrumbungle",-31.298962,148.581142,-35.473469,149.012375,5
"New South Wales",20191074,"NSW","Jul",2019,"Saturday","17:30","Pedestrian","No","No","No","60","Pedestrian","Female",81,"Major Cities of Australia","Sydney - North Sydney and Hornsby","Lane Cove","Arterial Road","No","No","75_or_older","Weekend","Day","Lane Cove",-33.79,151.19,-35.473469,149.012375,5
"New South Wales",20191065,"NSW","Apr",2019,"Wednesday","14:25","Multiple","No","Yes","No","80","Driver","Male",56,"Major Cities of Australia","Sydney - South West","Liverpool","Arterial Road","No","No","40_to_64","Weekday","Day","Liverpool",-33.89,151.1,-35.473469,149.012375,5
"New South Wales",20191028,"NSW","Sep",2019,"Saturday","9:00","Single","No","No","No","100","Driver","Female",23,"Inner Regional Australia","Riverina","Junee","Arterial Road","No","No","17_to_25","Weekend","Day","Junee",-34.933478,147.716767,-35.473469,149.012375,5
"New South Wales",20191093,"NSW","Aug",2019,"Saturday","21:55","Multiple","No","No","No","50","Passenger","Female",81,"Major Cities of Australia","Sydney - Blacktown","Blacktown","Local Road","No","No","75_or_older","Weekend","Night","Blacktown",-33.783751,150.900547,-35.473469,149.012375,5
"New South Wales",20181177,"NSW","Dec",2018,"Friday","14:00","Single","No","No","No","50","Driver","Male",67,"Inner Regional Australia","Murray","Albury","Local Road","Yes","No","65_to_74","Weekday","Day","Albury",-36.016196,147.026549,-35.473469,149.012375,5
"New South Wales",20191242,"NSW","Apr",2019,"Tuesday","7:45","Multiple","No","No","No","60","Driver","Male",90,"Major Cities of Australia","Sydney - Inner West","Canada Bay","Arterial Road","No","No","75_or_older","Weekday","Day","Canada Bay",-33.866044,151.133865,-35.473469,149.012375,5
"New South Wales",20191213,"NSW","Sep",2019,"Tuesday","20:45","Multiple","No","No","No","50","Motorcycle rider","Male",41,"Major Cities of Australia","Sydney - Inner West","Canada Bay","Local Road","No","No","40_to_64","Weekday","Night","Canada Bay",-33.866044,151.133865,-35.473469,149.012375,5
"New South Wales",20191092,"NSW","Jul",2019,"Thursday","19:35","Pedestrian","No","No","No","60","Pedestrian","Male",61,"Major Cities of Australia","Central Coast","Central Coast","Arterial Road","No","No","40_to_64","Weekday","Night","Central Coast",0,0,-35.473469,149.012375,5
"New South Wales",20191104,"NSW","Mar",2019,"Wednesday","9:27","Pedestrian","No","Yes","No","40","Pedestrian","Female",56,"Major Cities of Australia","Newcastle and Lake Macquarie","Newcastle","Local Road","No","No","40_to_64","Weekday","Day","Newcastle",-32.931635,151.778021,-35.473469,149.012375,5
"New South Wales",20171153,"NSW","Feb",2017,"Thursday","18:20","Multiple","No","Yes","No","80","Motorcycle rider","Male",45,"Outer Regional Australia","Coffs Harbour - Grafton","Bellingen","Access road","No","No","40_to_64","Weekday","Night","Bellingen",-30.459807,152.840266,-35.473469,149.012375,5
"New South Wales",20181224,"NSW","Jan",2018,"Monday","13:10","Pedestrian","No","No","No","40","Pedestrian","Male",57,"Major Cities of Australia","Sydney - City and Inner South","Sydney","Collector Road","No","No","40_to_64","Weekday","Day","Sydney",-33.79,151.27,-35.473469,149.012375,5
"New South Wales",20191177,"NSW","Jun",2019,"Monday","6:23","Single","No","No","No","100","Driver","Male",52,"Inner Regional Australia","Murray","Berrigan","Arterial Road","No","No","40_to_64","Weekday","Day","Berrigan",-35.754185,145.872814,-35.473469,149.012375,5
"New South Wales",20161193,"NSW","Aug",2016,"Wednesday","15:00","Single","No","No","No","50","Driver","Male",83,"Major Cities of Australia","Central Coast","Central Coast","Arterial Road","No","No","75_or_older","Weekday","Day","Central Coast",0,0,-35.473469,149.012375,5
"New South Wales",20191046,"NSW","Jul",2019,"Wednesday","22:30","Single","No","No","No","50","Pedal cyclist","Male",51,"Major Cities of Australia","Newcastle and Lake Macquarie","Newcastle","Local Road","No","No","40_to_64","Weekday","Night","Newcastle",-32.931635,151.778021,-35.473469,149.012375,5
"New South Wales",20181013,"NSW","Sep",2018,"Friday","15:20","Multiple","No","No","No","100","Driver","Male",59,"Inner Regional Australia","Hunter Valley exc Newcastle","Muswellbrook","National or State Highway","No","No","40_to_64","Weekday","Day","Muswellbrook",-32.248568,150.701949,-35.473469,149.012375,5
"New South Wales",20171277,"NSW","Dec",2017,"Tuesday","16:15","Multiple","No","Yes","No","50","Driver","Male",16,"Major Cities of Australia","Sydney - North Sydney and Hornsby","Hornsby","Local Road","No","No","0_to_16","Weekday","Day","Hornsby",-33.71,151.1,-35.473469,149.012375,5
"New South Wales",20191082,"NSW","Jul",2019,"Sunday","8:40","Multiple","No","No","No","70","Passenger","Female",79,"Major Cities of Australia","Sydney - Blacktown","Blacktown","Collector Road","No","No","75_or_older","Weekend","Day","Blacktown",-33.783751,150.900547,-35.473469,149.012375,5
"New South Wales",20181013,"NSW","Sep",2018,"Friday","15:20","Multiple","No","No","No","100","Driver","Male",48,"Inner Regional Australia","Hunter Valley exc Newcastle","Muswellbrook","National or State Highway","No","No","40_to_64","Weekday","Day","Muswellbrook",-32.248568,150.701949,-35.473469,149.012375,5
"New South Wales",20191171,"NSW","May",2019,"Thursday","11:05","Pedestrian","No","Yes","No","50","Pedestrian","Female",83,"Major Cities of Australia","Sydney - North Sydney and Hornsby","North Sydney","Local Road","No","No","75_or_older","Weekday","Day","North Sydney",-33.8,151.1,-35.473469,149.012375,5
"New South Wales",20171245,"NSW","Jul",2017,"Tuesday","14:30","Pedestrian","No","No","No","60","Pedestrian","Male",67,"Major Cities of Australia","Sydney - South West","Fairfield","Collector Road","No","No","65_to_74","Weekday","Day","Fairfield",-33.85,150.96,-35.473469,149.012375,5
"New South Wales",20181157,"NSW","Dec",2018,"Saturday","6:15","Single","No","No","No","100","Passenger","Female",19,"Outer Regional Australia","Riverina","Narrandera","National or State Highway","No","No","17_to_25","Weekend","Day","Narrandera",-34.902108,146.303599,-35.473469,149.012375,5
"New South Wales",20181189,"NSW","Aug",2018,"Friday","21:16","Pedestrian","No","No","No","60","Pedestrian","Female",60,"Major Cities of Australia","Central Coast","Central Coast","Arterial Road","No","No","40_to_64","Weekend","Night","Central Coast",0,0,-35.473469,149.012375,5
"New South Wales",20191094,"NSW","Aug",2019,"Sunday","23:50","Single","No","No","No","100","Driver","Male",34,"Very Remote Australia","Far West and Orana","Brewarrina","Access road","No","No","26_to_39","Weekend","Night","Brewarrina",-29.8313,146.94474,-35.473469,149.012375,5
"New South Wales",20191005,"NSW","Jan",2019,"Thursday","17:36","Multiple","No","Yes","No","100","Driver","Male",38,"Inner Regional Australia","Illawarra","Wollongong","National or State Highway","No","No","26_to_39","Weekday","Day","Wollongong",-34.423171,150.874294,-35.473469,149.012375,5
"New South Wales",20171028,"NSW","Dec",2017,"Friday","17:25","Multiple","No","No","No","100","Driver","Male",48,"Inner Regional Australia","Richmond - Tweed","Lismore","Arterial Road","No","No","40_to_64","Weekday","Day","Lismore",-28.706486,153.25943,-35.473469,149.012375,5
"New South Wales",20171197,"NSW","Oct",2017,"Sunday","10:10","Pedestrian","No","No","Yes","50","Pedestrian","Male",48,"Outer Regional Australia","Central West","Parkes","Local Road","No","No","40_to_64","Weekend","Day","Parkes",-33.035496,148.16819,-35.473469,149.012375,5
"New South Wales",20191105,"NSW","Jan",2019,"Sunday","18:30","Single","No","No","No","100","Driver","Female",34,"Outer Regional Australia","Riverina","Temora","Arterial Road","No","No","26_to_39","Weekend","Night","Temora",-34.487779,147.583811,-35.473469,149.012375,5
"New South Wales",20191253,"NSW","Jun",2019,"Friday","14:12","Multiple","No","Yes","No","90","Passenger","Female",54,"Major Cities of Australia","Illawarra","Wollongong","National or State Highway","No","No","40_to_64","Weekday","Day","Wollongong",-34.423171,150.874294,-35.473469,149.012375,5
"New South Wales",20191253,"NSW","Jun",2019,"Friday","14:12","Multiple","No","Yes","No","90","Driver","Male",70,"Major Cities of Australia","Illawarra","Wollongong","National or State Highway","No","No","65_to_74","Weekday","Day","Wollongong",-34.423171,150.874294,-35.473469,149.012375,5
"New South Wales",20171025,"NSW","Oct",2017,"Thursday","13:10","Multiple","No","Yes","No","60","Motorcycle rider","Male",18,"Major Cities of Australia","Sydney - South West","Fairfield","Local Road","No","No","17_to_25","Weekday","Day","Fairfield",-33.85,150.96,-35.473469,149.012375,5
"New South Wales",20191110,"NSW","May",2019,"Sunday","8:35","Multiple","No","No","No","100","Driver","Male",64,"Outer Regional Australia","New England and North West","Narrabri","Sub-arterial Road","No","No","40_to_64","Weekend","Day","Narrabri",-30.413331,149.767538,-35.473469,149.012375,5
"New South Wales",20191149,"NSW","Sep",2019,"Friday","19:40","Single","No","No","No","100","Passenger","Male",72,"Inner Regional Australia","Capital Region","Eurobodalla","National or State Highway","No","No","65_to_74","Weekend","Night","Eurobodalla",-36.127663,149.792292,-35.473469,149.012375,5
"New South Wales",20191256,"NSW","Sep",2019,"Tuesday","10:10","Pedestrian","No","No","No","50","Pedestrian","Female",74,"Major Cities of Australia","Sydney - South West","Fairfield","Collector Road","No","No","65_to_74","Weekday","Day","Fairfield",-33.85,150.96,-35.473469,149.012375,5
"New South Wales",20181248,"NSW","Jul",2018,"Sunday","0:10","Pedestrian","No","No","No","70","Pedestrian","Male",48,"Major Cities of Australia","Central Coast","Central Coast","Arterial Road","No","No","40_to_64","Weekend","Night","Central Coast",0,0,-35.473469,149.012375,5
"New South Wales",20171266,"NSW","Dec",2017,"Saturday","22:45","Multiple","No","No","No","100","Passenger","Male",25,"Outer Regional Australia","New England and North West","Walcha","Sub-arterial Road","Yes","No","17_to_25","Weekend","Night","Walcha",-31.145898,151.762627,-35.473469,149.012375,5
"New South Wales",20191234,"NSW","Feb",2019,"Sunday","10:19","Single","No","No","No","60","Passenger","Female",10,"Inner Regional Australia","Illawarra","Wollongong","Local Road","No","No","0_to_16","Weekend","Day","Wollongong",-34.423171,150.874294,-35.473469,149.012375,5
"New South Wales",20191058,"NSW","Sep",2019,"Monday","15:45","Single","No","No","No","60","Driver","Male",43,"Major Cities of Australia","Sydney - Outer South West","Campbelltown","Arterial Road","No","No","40_to_64","Weekday","Day","Campbelltown",-34.194216,150.768408,-35.473469,149.012375,5
"New South Wales",20191125,"NSW","Feb",2019,"Sunday","19:25","Single","No","No","No","60","Driver","Female",47,"Inner Regional Australia","Hunter Valley exc Newcastle","Maitland","Sub-arterial Road","No","No","40_to_64","Weekend","Night","Maitland",-32.741737,151.543675,-35.473469,149.012375,5
"New South Wales",20171001,"NSW","Jul",2017,"Sunday","5:30","Single","No","No","No","110","Driver","Male",17,"Outer Regional Australia","Far West and Orana","Narromine","National or State Highway","No","No","17_to_25","Weekend","Night","Narromine",-32.255249,148.110385,-35.473469,149.012375,5
"New South Wales",20151241,"NSW","Dec",2015,"Wednesday","21:30","Multiple","No","No","No","70","Driver","Male",31,"Major Cities of Australia","Newcastle and Lake Macquarie","Newcastle","Collector Road","No","No","26_to_39","Weekday","Night","Newcastle",-32.931635,151.778021,-35.473469,149.012375,5
"New South Wales",20181109,"NSW","Jan",2018,"Saturday","6:24","Multiple","No","Yes","No","80","Motorcycle rider","Male",27,"Major Cities of Australia","Sydney - Blacktown","Blacktown","Arterial Road","No","No","26_to_39","Weekend","Day","Blacktown",-33.783751,150.900547,-35.473469,149.012375,5
